x       y      size
358.000 26.645 10.9 
345.670 29.090 12.4 
333.182 30.040 13.2 
342.173 29.970 12.2 
275.984 39.938 12.5 
267.884 41.146 12.9 
286.901 42.860 13.1 
417.863 43.010 12.6 
420.813 45.923 12.4 
291.791 49.244 13.1 
291.802 52.008 12.9 
349.234 55.891 14.6 
290.694 56.580 13.4 
339.897 56.956 12.5 
294.100 57.101 14.4 
353.145 58.053 10.9 
292.937 58.443 12.7 
286.000 60.103 12.4 
357.019 61.033 11.3 
286.961 63.111 12.6 
359.480 63.266 9.9 
232.587 64.133 12.8 
294.932 64.064 10.5 
360.049 65.655 12.8 
298.000 68.000 12.0 
281.002 70.846 11.3 
299.000 71.067 12.2 
209.565 74.130 13.5 
315.292 73.893 12.6 
359.830 74.170 13.0 
278.453 74.872 11.2 
359.807 74.807 13.2 
279.414 76.715 11.2 
231.446 79.729 16.7 
311.309 79.126 13.1 
280.970 79.917 12.2 
309.050 79.000 13.2 
236.179 82.821 11.5 
308.686 82.121 13.9 
247.845 83.044 13.5 
363.125 83.496 12.2 
440.979 83.290 12.1 
283.166 84.298 11.5 
236.822 84.553 12.8 
285.727 86.727 10.6 
366.000 87.172 11.7 
441.650 86.266 12.2 
314.992 87.960 12.0 
338.094 89.129 13.4 
368.465 89.962 11.5 
320.286 89.714 12.0 
331.224 89.577 14.5 
334.008 90.200 12.9 
342.895 91.908 12.3 
384.817 91.183 13.5 
247.233 91.474 11.5 
373.833 91.813 13.0 
230.000 93.000 9.0 
242.023 92.977 12.1 
445.989 93.199 12.6 
230.500 94.545 9.0 
340.196 93.974 9.4 
243.000 95.244 11.4 
290.145 95.092 11.6 
230.000 96.768 12.0 
339.152 96.832 11.0 
446.010 97.174 12.5 
186.923 98.162 12.8 
238.926 98.259 13.0 
242.797 97.797 10.8 
237.808 100.256 13.5 
401.027 100.148 12.4 
229.066 101.444 13.7 
203.424 102.782 13.1 
204.033 102.737 12.8 
433.989 102.326 10.0 
238.835 102.586 13.8 
189.972 103.500 13.5 
289.929 103.464 12.4 
234.000 104.000 12.4 
449.329 107.114 12.7 
449.558 107.038 12.2 
240.000 108.136 11.1 
291.193 108.270 12.3 
439.682 107.695 13.0 
454.975 107.967 12.8 
372.735 111.440 12.3 
240.000 112.096 12.0 
291.887 118.753 12.9 
190.469 121.465 13.4 
241.907 122.838 12.5 
290.880 123.985 12.7 
223.804 125.979 13.0 
230.885 125.939 13.1 
163.854 126.501 14.7 
186.526 127.941 13.4 
289.991 126.922 12.1 
162.606 129.453 15.5 
214.156 129.340 12.1 
184.222 129.778 14.1 
232.000 131.696 12.9 
163.002 131.225 14.0 
215.750 131.719 11.0 
289.471 132.628 11.7 
170.948 133.403 12.1 
247.129 134.114 12.8 
320.000 134.043 11.1 
169.599 134.000 13.4 
