CD00016.1Arab-1 CD00050.1-Vim
x       y      x       y
289.807 18.477 140.645 81.990 
313.663 21.273 253.888 50.403 
261.125 23.168 434.000 150.157 
277.865 22.607 201.376 49.814 
332.784 24.849 153.026 57.669 
347.959 25.089 237.074 170.002 
254.987 26.004 140.514 82.471 
325.887 25.943 308.500 140.500 
329.857 26.408 130.656 75.353 
243.118 27.039 389.618 38.408 
247.878 29.939 360.884 114.601 
282.063 32.046 429.404 69.984 
240.920 32.799 361.961 94.965 
230.126 37.068 401.187 53.296 
396.041 36.595 394.959 31.888 
406.009 37.030 209.201 193.998 
227.000 37.571 348.009 77.231 
224.609 41.205 376.062 88.936 
371.718 40.644 438.693 84.447 
372.276 43.017 390.732 86.647 
404.771 42.848 384.618 146.518 
188.042 44.062 108.942 80.934 
259.014 43.879 254.692 85.642 
407.593 44.705 176.901 122.012 
271.018 45.953 134.036 121.013 
256.295 49.895 386.154 94.137 
201.271 50.602 390.500 96.705 
195.871 53.142 229.014 100.943 
432.705 54.099 253.069 67.918 
169.983 56.235 281.331 162.902 
187.036 55.744 161.490 133.104 
244.148 57.852 420.035 70.945 
204.398 61.328 86.783 181.144 
440.158 61.039 437.877 49.669 
414.040 62.029 426.962 146.424 
282.107 63.764 389.068 49.068 
437.037 64.220 434.986 59.882 
138.971 65.924 149.962 62.189 
443.493 66.296 442.555 61.081 
135.804 67.452 194.894 40.342 
370.362 67.056 406.902 69.056 
438.992 67.578 455.261 220.157 
445.982 68.936 410.955 162.114 
282.197 69.028 377.011 123.723 
140.612 72.240 137.184 126.895 
371.619 72.508 421.706 86.236 
258.079 75.879 442.231 98.261 
189.039 78.513 373.589 69.103 
270.241 81.244 443.564 81.400 
95.215 82.819 74.032 110.427 
98.204 82.795 209.150 176.099 
114.212 82.902 316.245 142.208 
117.976 82.793 158.152 133.802 
94.157 84.697 85.605 124.639 
346.368 85.013 286.846 60.121 
121.100 85.650 261.900 59.957 
243.890 86.468 206.018 154.973 
277.492 86.589 317.041 136.374 
354.154 87.809 194.559 94.645 
201.089 87.888 429.906 118.891 
261.696 88.153 101.249 138.571 
350.007 87.838 369.615 73.471 
368.088 87.735 409.060 75.667 
269.229 89.010 376.277 163.392 
242.000 90.107 443.155 75.924 
251.804 92.322 467.894 168.728 
256.000 91.000 77.291 92.268 
260.109 91.909 430.642 40.641 
280.375 92.294 311.921 141.969 
285.932 91.988 468.111 169.080 
252.645 93.645 319.777 140.859 
255.994 94.407 318.625 146.155 
262.030 93.868 370.369 84.396 
391.406 94.037 418.570 85.554 
396.576 93.603 404.064 88.802 
238.351 94.236 243.002 36.800 
259.936 94.739 194.130 105.774 
347.937 94.769 404.948 145.005 
371.409 95.186 406.620 73.797 
386.623 95.446 173.639 127.385 
393.363 94.396 415.198 84.835 
248.653 95.774 309.336 143.391 
282.142 96.023 335.865 30.097 
309.842 96.022 192.385 99.432 
200.301 97.269 435.432 59.651 
388.919 97.076 226.339 76.329 
269.044 97.056 372.190 75.778 
199.000 99.349 431.158 82.048 
347.038 100.003 227.439 109.527 
349.000 99.636 181.048 108.883 
401.857 100.378 397.615 34.694 
397.196 100.973 405.578 78.980 
421.153 102.390 440.337 101.961 
68.856 102.878 479.411 179.780 
244.399 102.944 216.257 172.752 
285.530 103.252 269.984 19.040 
413.880 103.417 374.906 68.940 
426.187 102.955 293.689 58.560 
187.622 104.099 347.429 84.424 
383.184 104.009 250.430 50.138 
423.388 104.249 377.670 72.800 
434.073 103.788 265.695 72.119 
67.037 105.071 84.561 124.355 
417.425 104.368 414.000 60.000 
436.964 104.851 410.000 52.000 
196.250 106.969 415.081 39.046 
240.156 105.999 245.491 166.630 
65.009 107.094 72.562 107.356 
78.000 107.189 239.257 134.802 
164.981 107.947 205.778 83.794 
273.072 107.108 185.988 134.829 
426.657 107.657 404.239 59.459 
467.112 106.838 451.451 96.170 
149.030 108.935 380.000 99.018 
211.025 109.317 365.710 73.845 
283.686 108.968 427.288 109.082 
406.540 109.246 273.069 75.901 
429.292 108.699 263.008 138.025 
433.434 108.444 264.563 80.883 
465.041 109.712 452.106 101.097 
276.693 109.809 320.000 30.000 
440.083 110.112 440.443 107.534 
464.070 109.914 453.705 103.209 
64.038 110.862 208.911 174.609 
457.254 110.912 285.953 64.809 
265.959 112.996 406.692 30.653 
272.000 113.000 492.986 139.016 
63.623 115.010 384.969 76.280 
388.546 114.967 269.469 71.279 
453.000 115.750 371.607 117.028 
432.104 116.812 378.861 149.916 
